1444052035.000000, 1444052035.000000, 1444052035.000000
32.000000, 32.000000, 32.000000
-60,0,22
-59,0,23
-58,0,23
-58,0,23
-58,-1,23
-58,0,23
-57,0,25
-57,1,26
-55,3,32
-59,3,30
-62,1,20
-62,1,17
-61,6,26
-59,5,26
-61,1,11
-58,0,8
-52,0,-9
-81,-1,-12
-62,1,9
-58,2,9
-59,1,5
-63,0,2
-66,2,3
-68,4,2
-68,4,0
-67,5,-4
-66,6,-6
-68,8,-9
-70,8,-11
-75,9,-13
-67,23,-9
-65,24,-6
-62,20,-1
-62,17,0
-69,10,2
-71,8,3
-75,8,1
-72,10,3
-65,10,5
-66,9,4
-65,7,2
-64,7,1
-63,7,1
-59,5,0
-56,4,0
-51,1,2
-52,-1,2
-52,-3,1
-53,-3,1
-54,-6,0
-58,-8,0
-61,-9,1
-57,-11,1
-54,-12,2
-53,-14,-1
-63,-20,-4
-92,-35,-6
-86,-36,0
-64,-18,-9
-55,-5,-10
-63,-10,-16
-60,-15,-10
-54,-16,-2
-47,-21,11
-47,-20,13
-55,-20,6
-61,-19,-2
-70,-14,-14
-70,-12,-17
-68,-8,-14
-67,-9,-12
-63,-5,-3
-66,-6,-5
-71,-10,-8
-63,-14,-8
-59,-14,-9
-59,-10,-12
-60,-8,-15
-57,-13,-19
-56,-16,-20
-57,-22,-22
-58,-21,-20
-56,-15,-25
-55,-15,-28
-58,-14,-27
-56,-14,-27
-57,-12,-26
-56,-7,-26
-57,-5,-27
-64,-2,-29
-67,-3,-33
-62,-4,-37
-60,-6,-35
-63,-7,-37
-70,-6,-30
-65,-6,-21
-58,-9,-13
-56,-11,-7
-52,-10,6
-43,-12,11
-23,-4,36
-26,-3,51
-50,0,65
-58,0,39
-61,5,33
-68,3,40
-68,0,37
-54,1,41
-51,1,42
-42,-1,38
-35,0,42
-36,0,42
-38,0,43
-34,-5,51
-33,-6,56
-36,-6,54
-34,-6,57
-32,-6,56
-35,-5,50
-35,-4,49
-35,-4,51
-36,-4,51
-36,-4,51
-37,-2,49
-42,-2,51
-30,-3,50
-30,-2,50
-32,-3,54
-36,-1,54
-37,1,55
-49,1,52
-49,1,49
-39,2,51
-54,5,59
-43,1,59
-40,-3,52
-45,-6,47
-37,-9,45
-24,-13,38
-28,-13,32
-39,-12,33
-35,-11,39
